# 各周期危险性曲线
周期(s), 谱加速度(cm/s^2), 年超越概率
0.020, 3.804959e-01, 1.011765e-03
0.020, 3.602641e-01, 1.023529e-03
0.020, 3.575676e-01, 1.035294e-03
0.020, 3.564384e-01, 1.047059e-03
0.020, 3.471445e-01, 1.058824e-03
0.020, 3.469842e-01, 1.070588e-03
0.020, 3.463664e-01, 1.082353e-03
0.020, 3.439512e-01, 1.094118e-03
0.020, 3.347769e-01, 1.105882e-03
0.020, 3.319522e-01, 1.117647e-03
0.020, 3.308183e-01, 1.129412e-03
0.020, 3.302281e-01, 1.141176e-03
0.020, 3.284624e-01, 1.152941e-03
0.020, 3.238159e-01, 1.164706e-03
0.020, 3.226937e-01, 1.176471e-03
0.020, 3.199404e-01, 1.188235e-03
0.020, 3.191326e-01, 1.200000e-03
0.020, 3.169943e-01, 1.211765e-03
0.020, 3.111728e-01, 1.223529e-03
0.020, 3.058725e-01, 1.235294e-03
0.020, 3.032558e-01, 1.247059e-03
0.020, 3.025939e-01, 1.258824e-03
0.020, 3.021057e-01, 1.270588e-03
0.020, 2.990530e-01, 1.282353e-03
0.020, 2.985821e-01, 1.294118e-03
0.020, 2.980516e-01, 1.305882e-03
0.020, 2.964236e-01, 1.317647e-03
0.020, 2.891202e-01, 1.329412e-03
0.020, 2.863103e-01, 1.341176e-03
0.020, 2.855713e-01, 1.352941e-03
0.020, 2.725982e-01, 1.364706e-03
0.020, 2.651655e-01, 1.376471e-03
0.020, 2.565141e-01, 1.388235e-03
0.020, 2.518774e-01, 1.400000e-03
0.020, 2.513376e-01, 1.411765e-03
0.020, 2.501467e-01, 1.423529e-03
0.020, 2.403519e-01, 1.435294e-03
0.020, 2.388213e-01, 1.447059e-03
0.020, 2.377707e-01, 1.458824e-03
0.020, 2.352862e-01, 1.470588e-03
0.020, 2.310508e-01, 1.482353e-03
0.020, 2.249782e-01, 1.494118e-03
0.020, 2.219293e-01, 1.505882e-03
0.020, 2.216202e-01, 1.517647e-03
0.020, 2.214273e-01, 1.529412e-03
0.020, 2.172973e-01, 1.541176e-03
0.020, 2.068012e-01, 1.552941e-03
0.020, 2.041103e-01, 1.564706e-03
0.020, 2.025434e-01, 1.576471e-03
0.020, 2.024131e-01, 1.588235e-03
0.020, 1.974640e-01, 1.600000e-03
0.020, 1.917883e-01, 1.611765e-03
0.020, 1.916165e-01, 1.623529e-03
0.020, 1.887746e-01, 1.635294e-03
0.020, 1.820711e-01, 1.647059e-03
0.020, 1.811745e-01, 1.658824e-03
0.020, 1.778135e-01, 1.670588e-03
0.020, 1.767871e-01, 1.682353e-03
0.020, 1.741062e-01, 1.694118e-03
0.020, 1.716073e-01, 1.705882e-03
0.020, 1.663304e-01, 1.717647e-03
0.020, 1.631134e-01, 1.729412e-03
0.020, 1.577645e-01, 1.741176e-03
0.020, 1.469940e-01, 1.752941e-03
0.020, 1.468461e-01, 1.764706e-03
0.020, 1.444556e-01, 1.776471e-03
0.020, 1.385073e-01, 1.788235e-03
0.020, 1.255290e-01, 1.800000e-03
0.020, 1.178277e-01, 1.811765e-03
0.020, 1.022900e-01, 1.823529e-03
0.020, 9.400753e-02, 1.835294e-03
0.020, 8.841738e-02, 1.847059e-03
0.020, 8.301183e-02, 1.858824e-03
0.020, 7.426046e-02, 1.870588e-03
0.020, 7.046108e-02, 1.882353e-03
0.020, 6.988647e-02, 1.894118e-03
0.020, 6.751050e-02, 1.905882e-03
0.020, 6.427046e-02, 1.917647e-03
0.020, 6.071788e-02, 1.929412e-03
0.020, 5.784204e-02, 1.941176e-03
0.020, 4.823001e-02, 1.952941e-03
0.020, 4.697067e-02, 1.964706e-03
0.020, 3.757597e-02, 1.976471e-03
0.020, 3.550832e-02, 1.988235e-03
0.025, 2.537879e+01, 1.176471e-05
0.025, 2.239699e+01, 2.352941e-05
0.025, 2.224530e+01, 3.529412e-05
0.025, 1.485180e+01, 4.705882e-05
0.025, 1.167984e+01, 5.882353e-05
0.025, 1.107233e+01, 7.058824e-05
0.025, 8.983782e+00, 8.235294e-05
0.025, 8.159386e+00, 9.411765e-05
0.025, 7.695445e+00, 1.058824e-04
0.025, 6.393889e+00, 1.176471e-04
0.025, 6.203256e+00, 1.294118e-04
0.025, 5.294026e+00, 1.411765e-04
0.025, 4.458685e+00, 1.529412e-04
0.025, 3.829479e+00, 1.647059e-04
0.025, 3.499192e+00, 1.764706e-04
0.025, 3.280081e+00, 1.882353e-04
0.025, 3.160214e+00, 2.000000e-04
0.025, 3.123193e+00, 2.117647e-04
0.025, 3.119205e+00, 2.235294e-04
0.025, 2.973802e+00, 2.352941e-04
0.025, 2.848926e+00, 2.470588e-04
0.025, 2.846866e+00, 2.588235e-04
