# 地震模拟系统 - 地震动加速度谱数据
# 模拟参数
# 总模拟次数: 5
# 时间跨度: 500.0 年
# 区域范围: 经度 [-90.5, -89.5], 纬度 [35.0, 35.5]

事件 1
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.66, 46.11, -89.6236, 35.3604, 14.93, 36.29

频率(Hz), 加速度谱(cm/s^2)
频率(Hz), 加速度谱(cm/s^2)
0.1, 1.919061e+01
0.2, 2.616056e+01
0.3, 2.507234e+01
0.4, 5.522835e+01
0.5, 3.580640e+01
0.6, 2.655187e+01
0.7, 1.397284e+01
0.8, 2.842461e+01
0.9, 2.355407e+01
1.0, 3.421785e+01
1.1, 2.431938e+01
1.2, 1.874772e+01
1.3, 4.272215e+01
1.4, 2.292097e+01
1.5, 2.584730e+01
1.6, 2.076937e+01
1.7, 2.429778e+01
1.8, 1.523121e+01
1.9, 1.440645e+01
2.0, 1.316662e+01
2.1, 1.510681e+01
2.2, 1.673634e+01
2.3, 1.987502e+01
2.4, 1.757153e+01
2.5, 4.141937e+01
2.6, 2.598257e+01
2.7, 1.498725e+01
2.8, 1.937749e+01
2.9, 3.312600e+01
3.0, 1.150164e+01
3.1, 1.634827e+01
3.2, 1.895675e+01
3.3, 1.334296e+01
3.4, 1.767938e+01
3.5, 8.470611e+00
3.6, 1.165226e+01
3.7, 1.485115e+01
3.8, 1.682288e+01
3.9, 1.415078e+01
4.0, 1.233659e+01
4.1, 1.614589e+01
4.2, 1.937017e+01
4.3, 1.274833e+01
4.4, 3.319354e+01
4.5, 2.497481e+01
4.6, 1.616453e+01
4.7, 1.428552e+01
4.8, 1.953951e+01
4.9, 8.981157e+00
5.0, 1.779887e+01
5.1, 1.820454e+01
5.2, 1.502893e+01
5.3, 1.564566e+01
5.4, 1.590992e+01
5.5, 1.850348e+01
5.6, 9.170491e+00
5.7, 7.670052e+00
5.8, 7.303472e+00
5.9, 1.709641e+01
6.0, 3.790904e+00
6.1, 1.286302e+01
6.2, 8.144484e+00
6.3, 7.480609e+00
6.4, 1.013276e+01
6.5, 1.701508e+01
6.6, 8.778877e+00
6.7, 9.155702e+00
6.8, 1.290065e+01
6.9, 9.629252e+00
7.0, 1.381964e+01
7.1, 1.834980e+01
7.2, 6.846562e+00
7.3, 3.271058e+01
7.4, 1.591987e+01
7.5, 5.155077e+00
7.6, 8.788897e+00
7.7, 2.901026e+01
7.8, 9.703494e+00
7.9, 1.542949e+01
8.0, 1.340521e+01
8.1, 8.698477e+00
8.2, 1.929740e+01
8.3, 1.031381e+01
8.4, 8.469401e+00
8.5, 1.186367e+01
8.6, 8.791484e+00
8.7, 1.313987e+01
8.8, 4.802638e+00
8.9, 5.347797e+00
9.0, 1.545177e+01
9.1, 9.595377e+00
9.2, 6.709534e+00
9.3, 4.445280e+00
9.4, 5.407306e+00
9.5, 5.974889e+00
9.6, 3.399573e+00
9.7, 1.432215e+01
9.8, 8.568631e+00
9.9, 1.235729e+01
10.0, 6.349741e+00

事件 8
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.71, 132.44, -90.2534, 35.2269, 9.84, 23.15

频率(Hz), 加速度谱(cm/s^2)
0.1, 2.344117e+01
0.2, 2.470499e+01
0.3, 4.287283e+01
0.4, 2.409106e+01
0.5, 1.816919e+01
0.6, 2.443506e+01
0.7, 2.031524e+01
0.8, 2.345863e+01
0.9, 2.348255e+01
1.0, 2.872589e+01
1.1, 2.186249e+01
1.2, 2.175774e+01
1.3, 2.634273e+01
1.4, 1.884534e+01
1.5, 3.047202e+01
1.6, 3.085947e+01
1.7, 3.651078e+01
1.8, 1.436415e+01
1.9, 1.905928e+01
2.0, 2.094462e+01
2.1, 8.924420e+00
2.2, 1.190277e+01
2.3, 2.097989e+01
2.4, 8.556205e+00
2.5, 3.481996e+01
2.6, 8.200943e+00
2.7, 9.053531e+00
2.8, 3.444990e+01
2.9, 1.486962e+01
3.0, 1.901336e+01
3.1, 1.564695e+01
3.2, 2.032492e+01
3.3, 2.790545e+01
3.4, 3.643593e+01
3.5, 2.074581e+01
3.6, 5.885746e+00
3.7, 1.340805e+01
3.8, 1.255562e+01
3.9, 2.766960e+01
4.0, 1.325354e+01
4.1, 2.782731e+01
4.2, 1.075088e+01
4.3, 1.573414e+01
4.4, 2.404427e+01
4.5, 1.638455e+01
4.6, 1.881288e+01
4.7, 1.265365e+01
4.8, 1.114315e+01
4.9, 1.173400e+01
5.0, 5.017236e+00
5.1, 1.901678e+01
5.2, 1.134114e+01
5.3, 3.581413e+01
5.4, 1.209674e+01
5.5, 2.111412e+01
5.6, 1.367283e+01
5.7, 3.039909e+01
5.8, 7.261964e+00
5.9, 1.297353e+01
6.0, 1.938869e+01
6.1, 1.412105e+01
6.2, 1.045582e+01
6.3, 1.115301e+01
6.4, 8.276501e+00
6.5, 1.397304e+01
6.6, 1.056146e+01
6.7, 1.220069e+01
6.8, 9.450644e+00
6.9, 9.044717e+00
7.0, 5.950913e+00
7.1, 1.419791e+01
7.2, 7.593789e+00
7.3, 9.686715e+00
7.4, 1.332159e+01
7.5, 1.288727e+01
7.6, 1.092455e+01
7.7, 9.655333e+00
7.8, 9.511530e+00
7.9, 5.685947e+00
8.0, 1.405046e+01
8.1, 2.048180e+01
8.2, 7.627034e+00
8.3, 5.990908e+00
8.4, 8.892397e+00
8.5, 7.235716e+00
8.6, 8.098711e+00
8.7, 3.819481e+00
8.8, 9.238779e+00
8.9, 5.774377e+00
9.0, 4.960381e+00
9.1, 8.730372e+00
9.2, 9.087122e+00
9.3, 9.494964e+00
9.4, 5.894357e+00
9.5, 5.082549e+00
9.6, 1.854654e+01
9.7, 9.322462e+00
9.8, 8.266678e+00
9.9, 4.619710e+00
10.0, 1.143329e+01

事件 9
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.61, 176.35, -89.9386, 35.4769, 12.47, 25.84

频率(Hz), 加速度谱(cm/s^2)
0.1, 1.373427e+01
0.2, 1.890536e+01
0.3, 2.843423e+01
0.4, 2.527022e+01
0.5, 1.517091e+01
0.6, 1.549060e+01
0.7, 4.494239e+01
0.8, 2.284960e+01
0.9, 2.777530e+01
1.0, 3.537640e+01
1.1, 2.021397e+01
1.2, 2.083020e+01
1.3, 1.907925e+01
1.4, 2.195850e+01
1.5, 1.448842e+01
1.6, 1.008936e+01
1.7, 1.631235e+01
1.8, 1.267142e+01
1.9, 1.559559e+01
2.0, 2.159393e+01
2.1, 2.618999e+01
2.2, 1.845804e+01
2.3, 1.755696e+01
2.4, 1.259120e+01
2.5, 1.151337e+01
2.6, 2.059742e+01
2.7, 1.248810e+01
2.8, 2.554414e+01
2.9, 1.153140e+01
3.0, 1.206585e+01
3.1, 1.774401e+01
3.2, 1.430606e+01
3.3, 1.300361e+01
3.4, 1.571897e+01
3.5, 1.600689e+01
3.6, 9.812402e+00
3.7, 8.896503e+00
3.8, 1.680835e+01
3.9, 1.144904e+01
4.0, 1.069311e+01
4.1, 9.574588e+00
4.2, 1.127276e+01
4.3, 1.593680e+01
4.4, 9.151652e+00
4.5, 8.668680e+00
4.6, 1.276033e+01
4.7, 8.582034e+00
4.8, 1.193106e+01
4.9, 1.088771e+01
5.0, 1.259709e+01
5.1, 1.088758e+01
5.2, 5.890457e+00
5.3, 1.443457e+01
5.4, 1.255769e+01
5.5, 3.678900e+00
5.6, 7.718393e+00
5.7, 6.524386e+00
5.8, 7.547079e+00
5.9, 1.457573e+01
6.0, 5.187262e+00
6.1, 6.195146e+00
6.2, 1.201197e+01
6.3, 1.262338e+01
6.4, 6.567657e+00
6.5, 1.270169e+01
6.6, 6.597796e+00
6.7, 1.895436e+01
6.8, 1.321612e+01
6.9, 7.792466e+00
7.0, 5.395267e+00
7.1, 1.512222e+01
7.2, 5.481622e+00
7.3, 6.455808e+00
7.4, 4.941851e+00
7.5, 1.313655e+01
